start_lat,start_lng,end_lat,end_lng,distance,timestamp,month,day,date,weekday,time
44.12072194,-79.79209308,44.15292278,-79.73630855,7.5,2020-06-29-150648585969,6,29,2020-06-29,1,15.1
44.12072194,-79.79209308,44.1870881,-79.6705665,17.3,2020-06-29-150648953268,6,29,2020-06-29,1,15.1
44.12072194,-79.79209308,44.1697454,-79.7528009,7.8,2020-06-29-150649097748,6,29,2020-06-29,1,15.1
44.1871321,-79.6706479,44.1697454,-79.7528009,11.1,2020-06-29-150651579482,6,29,2020-06-29,1,15.1
44.1871321,-79.6706479,44.15292278,-79.73630855,8.9,2020-06-29-150651610425,6,29,2020-06-29,1,15.1
44.1697454,-79.7528009,44.12072194,-79.79209308,7.8,2020-06-29-150652149542,6,29,2020-06-29,1,15.1
44.1697454,-79.7528009,44.12094024,-79.79197121,7.8,2020-06-29-150652569589,6,29,2020-06-29,1,15.1
44.1871321,-79.6706479,44.12072194,-79.79209308,17.3,2020-06-29-150654397229,6,29,2020-06-29,1,15.1
44.1697454,-79.7528009,44.15292278,-79.73630855,4.7,2020-06-29-150654510820,6,29,2020-06-29,1,15.1
44.1871321,-79.6706479,44.12094024,-79.79197121,17.4,2020-06-29-150655049863,6,29,2020-06-29,1,15.1
44.1697454,-79.7528009,44.1871321,-79.6706479,11.1,2020-06-29-150655467936,6,29,2020-06-29,1,15.1
44.1697454,-79.7528009,44.1870881,-79.6705665,11.1,2020-06-29-150655578731,6,29,2020-06-29,1,15.1
44.15292278,-79.73630855,44.12072194,-79.79209308,7.5,2020-06-29-151338615764,6,29,2020-06-29,1,15.21666667
44.15292278,-79.73630855,44.1697454,-79.7528009,4.7,2020-06-29-151338789060,6,29,2020-06-29,1,15.21666667
44.12094024,-79.79197121,44.1870881,-79.6705665,16.4,2020-06-29-151340683599,6,29,2020-06-29,1,15.21666667
44.15292278,-79.73630855,44.12094024,-79.79197121,7.5,2020-06-29-151340711949,6,29,2020-06-29,1,15.21666667
44.12094024,-79.79197121,44.1871321,-79.6706479,16.4,2020-06-29-151340842052,6,29,2020-06-29,1,15.21666667
44.15292278,-79.73630855,44.1871321,-79.6706479,8.9,2020-06-29-151341797285,6,29,2020-06-29,1,15.21666667
44.12094024,-79.79197121,44.15292278,-79.73630855,7.5,2020-06-29-151341876128,6,29,2020-06-29,1,15.21666667
44.12094024,-79.79197121,44.12072194,-79.79209308,0.035,2020-06-29-151344079666,6,29,2020-06-29,1,15.21666667
44.12094024,-79.79197121,44.1697454,-79.7528009,7.8,2020-06-29-151344489029,6,29,2020-06-29,1,15.21666667
44.15292278,-79.73630855,44.1870881,-79.6705665,8.9,2020-06-29-151345070999,6,29,2020-06-29,1,15.21666667
44.1870881,-79.6705665,44.15292278,-79.73630855,8.9,2020-06-29-151345929559,6,29,2020-06-29,1,15.21666667
44.1870881,-79.6705665,44.12072194,-79.79209308,17.3,2020-06-29-151346070844,6,29,2020-06-29,1,15.21666667
44.1870881,-79.6705665,44.1697454,-79.7528009,11.1,2020-06-29-151347095487,6,29,2020-06-29,1,15.21666667
44.12072194,-79.79209308,44.12094024,-79.79197121,0.035,2020-06-29-151347864483,6,29,2020-06-29,1,15.21666667
44.12072194,-79.79209308,44.1871321,-79.6706479,17.3,2020-06-29-151348164446,6,29,2020-06-29,1,15.21666667
